DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
01/01/2019,0:00,BROOKLYN,11234,40.621563,-73.923996,"(40.621563, -73.923996)",,,5315      AVENUE M                      ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4060629,Station Wagon/Sport Utility Vehicle,Sedan,,,
01/01/2019,0:00,MANHATTAN,10001,40.745193,-73.99233,"(40.745193, -73.99233)",,,125       WEST 26 STREET                ,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,4061671,Van,Box Truck,,,
01/01/2019,0:00,QUEENS,11385,40.702763,-73.87914,"(40.702763, -73.87914)",,,71-42     COOPER AVENUE                 ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,,,,,4061093,Sedan,,,,
01/01/2019,0:00,,,40.68054,-73.88674,"(40.68054, -73.88674)",ARLINGTON AVENUE                ,,,0,0,0,0,0,0,0,0,Aggressive Driving/Road Rage,Unspecified,Unspecified,,,4060899,Station Wagon/Sport Utility Vehicle,Sedan,Sedan,,
01/01/2019,0:00,,,40.731983,-73.91912,"(40.731983, -73.91912)",LONG ISLAND EXPRESSWAY          ,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,4060421,Sedan,Station Wagon/Sport Utility Vehicle,,,
01/01/2019,0:00,,,40.738415,-73.84899,"(40.738415, -73.84899)",LONG ISLAND EXPRESSWAY          ,,,0,0,0,0,0,0,0,0,Unspecified,,,,,4060727,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
01/01/2019,0:00,,,40.701275,-73.88887,"(40.701275, -73.88887)",MYRTLE AVENUE                   ,65 PLACE,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,,,,,4056364,,,,,
01/01/2019,0:00,,,40.74147,-73.985435,"(40.74147, -73.985435)",PARK AVENUE SOUTH               ,,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,4060779,Taxi,Taxi,,,
01/01/2019,0:00,,,40.63921,-74.17126,"(40.63921, -74.17126)",,,55        HOLLAND AVENUE                ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Backing Unsafely,,,,4060523,Sedan,Station Wagon/Sport Utility Vehicle,,,
01/01/2019,0:00,BROOKLYN,11237,40.706604,-73.92506,"(40.706604, -73.92506)",,,1170      FLUSHING AVENUE               ,1,0,0,0,0,0,1,0,Following Too Closely,Unspecified,,,,4060441,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
